Measure Names,Municipio,Measure Values
Básicos Total localidades,Rosales,296
Básicos Total viviendas particulares habitadas,Rosales,5320
Escolaridad 15 a 24 años,Rosales,0.99
Escolaridad 25 años o más,Rosales,0.959
Escolaridad Básica,Rosales,0.652
Escolaridad Media superior,Rosales,0.206
Escolaridad Sin escolaridad,Rosales,0.045
Escolaridad Superior,Rosales,0.096
PEA Con alguna limitación física o mental,Rosales,0.04
PEA Dedicadas a quehaceres del hogar,Rosales,0.454
PEA En otras actividades no económicas,Rosales,0.111
PEA Estudiantes,Rosales,0.277
PEA Hombres,Rosales,0.64
PEA Mujeres,Rosales,0.36
PEA Pensionadas/ jubiladas,Rosales,0.118
PEA Población Económicamente Activa,Rosales,0.579
PEA Población no económicamente activa,Rosales,0.419
Población*,Rosales,16776
TIC Computadora,Rosales,0.29
TIC Internet,Rosales,0.406
TIC Línea telefónica fija,Rosales,0.162
TIC Televisión de paga,Rosales,0.467
TIC Teléfono celular,Rosales,0.922
Brechas de género en Créditos** Banca Banca de desarrollo (Brecha),Saucillo,673
Brechas de género en Créditos** Banca de desarrollo (Hombres),Saucillo,196
Brechas de género en Créditos** Banca de desarrollo (Mujeres),Saucillo,1001
Brechas de género en Créditos** Banca múltiple (Brecha),Saucillo,72
Brechas de género en Créditos** Banca múltiple (Hombres),Saucillo,3345
Brechas de género en Créditos** Banca múltiple (Mujeres),Saucillo,3861
Brechas de género en Créditos** SOCAP (Brecha),Saucillo,117
Brechas de género en Créditos** SOCAP (Hombres),Saucillo,2212
Brechas de género en Créditos** SOCAP (Mujeres),Saucillo,2799
Brechas de género en Créditos** SOFIPO (Brecha),Saucillo,-999
Brechas de género en Créditos** SOFIPO (Hombres),Saucillo,7
Brechas de género en Créditos** SOFIPO (Mujeres),Saucillo,4
Brechas de género en Créditos** Total créditos (Brechas),Saucillo,142
Brechas de género en Créditos** Total créditos (Hombres),Saucillo,5760
Brechas de género en Créditos** Total créditos (Mujeres),Saucillo,7665
Brechas de género en Cuentas** Banca Banca de desarrollo (Brecha),Saucillo,-632
Brechas de género en Cuentas** Banca de desarrollo (Hombres),Saucillo,1971
Brechas de género en Cuentas** Banca de desarrollo (Mujeres),Saucillo,444
Brechas de género en Cuentas** Banca múltiple (Brecha),Saucillo,-5
Brechas de género en Cuentas** Banca múltiple (Hombres),Saucillo,3693
Brechas de género en Cuentas** Banca múltiple (Mujeres),Saucillo,3654
Brechas de género en Cuentas** SOCAP (Brecha),Saucillo,85
Brechas de género en Cuentas** SOCAP (Hombres),Saucillo,8441
Brechas de género en Cuentas** SOCAP (Mujeres),Saucillo,10006
Brechas de género en Cuentas** SOFIPO (Brecha),Saucillo,558
Brechas de género en Cuentas** SOFIPO (Hombres),Saucillo,95
Brechas de género en Cuentas** SOFIPO (Mujeres),Saucillo,335
Brechas de género en Cuentas** Total cuentas (Brechas),Saucillo,8
Brechas de género en Cuentas** Total cuentas (Hombres),Saucillo,14200
Brechas de género en Cuentas** Total cuentas (Mujeres),Saucillo,14439
Cajeros Automáticos Banca de desarrollo,Saucillo,2
Cajeros Automáticos Banca múltiple,Saucillo,7
Cajeros Automáticos SOCAP,Saucillo,2
Cajeros Automáticos SOFIPO,Saucillo,0
Cajeros Automáticos Total,Saucillo,11
Corresponsales Máximos,Saucillo,9
Créditos Banca de desarrollo,Saucillo,1335
Créditos Banca múltiple,Saucillo,10035
Créditos SOCAP,Saucillo,5011
Créditos SOFIPO,Saucillo,11
Créditos Total,Saucillo,16392
Cuentas Banca de desarrollo,Saucillo,2431
Cuentas Banca múltiple,Saucillo,7633
Cuentas SOCAP,Saucillo,18447
Cuentas SOFIPO,Saucillo,430
Cuentas Total,Saucillo,28941
Medios de pago - transacciones en TPV Banca de desarrollo,Saucillo,1242
Medios de pago - transacciones en TPV Banca múltiple,Saucillo,30643
Medios de pago - transacciones en TPV SOCAP,Saucillo,0
Medios de pago - transacciones en TPV SOFIPO,Saucillo,0
Medios de pago - transacciones en TPV Total,Saucillo,31885
Remesas Ingreso por remesas por persona,Saucillo,755
Remesas Millones de dólares,Saucillo,225
Sucursales Banca de desarrollo,Saucillo,1
Sucursales Banca múltiple,Saucillo,3
Sucursales SOCAP,Saucillo,2
Sucursales SOFIPO,Saucillo,0
Sucursales Total,Saucillo,6
Terminales punto de venta Agregadores,Saucillo,208
Terminales punto de venta Banca de desarrollo,Saucillo,2
Terminales punto de venta Banca múltiple,Saucillo,158
Terminales punto de venta SOCAP,Saucillo,0
Terminales punto de venta SOFIPO,Saucillo,0
Terminales punto de venta Total,Saucillo,528
Terminales punto de venta Total sin agregadores,Saucillo,160
Básicos Densidad poblacional (hab/km2),Saucillo,9.8
Básicos Hombres,Saucillo,0.497
Básicos Mujeres,Saucillo,0.503
Básicos Población,Saucillo,29862
Básicos Superficie (km2),Saucillo,3039.7
Básicos Total localidades,Saucillo,218
Básicos Total viviendas particulares habitadas,Saucillo,9045
Escolaridad 15 a 24 años,Saucillo,0.985
Escolaridad 25 años o más,Saucillo,0.961
Escolaridad Básica,Saucillo,0.621
Escolaridad Media superior,Saucillo,0.219
